name,change,rent_median,density,color,percent_change,2016pop,size
Garmisch-Partenkirchen,1065.6249999999989,8.85,86,22,10.7,87385,0.024825065461071223
Landsberg am Lech,1879.6736913664176,8.74,146,22,18.8,117657,0.03342498972310187
Miesbach,1552.3567598080722,10.23,113,22,15.5,98286,0.027921913187696358
Mühldorf a. Inn,2334.3708314806586,6.93,139,22,23.3,112034,0.03182756060955145
München,1694.4507878511083,12.8,511,23,16.9,340003,0.09659091070504777
Neuburg-Schrobenhausen,3280.861640430821,8.02,127,32,32.8,94654,0.026890104092833274
Pfaffenhofen a.d. Ilm,2446.2564862861373,8.39,163,22,24.5,124128,0.0352633258059375
Rosenheim,1675.7123473541387,8.61,177,22,16.8,256074,0.07274765477917666
Starnberg,1616.8247021638701,11.95,273,23,16.2,133621,0.037960177055258885
Traunstein,1702.8704422032583,7.54,113,22,17.0,174162,0.04947740517057946
Weilheim-Schongau,1492.5373134328365,8.47,137,22,14.9,132906,0.03775705384412808
Landshut,2396.1551664950225,9.03,1051,22,24.0,69211,0.019662042749055336
Passau,1780.3721269609625,8.07,726,22,17.8,50566,0.01436521439725957
Straubing,1844.3680137575232,6.89,692,22,18.4,46806,0.013297041986277961
Deggendorf,1555.8510638297878,6.52,135,21,15.6,116596,0.03312357192308818
Freyung-Grafenau,641.2478336221855,4.61,79,11,6.4,78122,0.02219355454540031
Kelheim,2521.2585034013605,7.36,111,22,25.2,118965,0.033796577359688024
Landshut,2787.9874495741833,7.13,114,32,27.9,154577,0.043913533716038296
Passau,1627.2189349112414,5.89,123,21,16.3,188336,0.05350407425389151
Regen,1194.8955916473333,4.83,78,21,11.9,76812,0.021821398731999803
Rottal-Inn,2310.1265822784803,5.83,93,21,23.1,119218,0.033868451726703545
Straubing-Bogen,1907.6305220883519,5.93,82,21,19.1,98806,0.028069639159427857
Dingolfing-Landau,3145.6113647894463,6.48,107,31,31.5,94104,0.026733855468886496
Amberg,1325.1922207146085,6.26,834,21,13.3,41861,0.011892224812792842
Regensburg,1451.706188548295,9.9,1802,22,14.5,145465,0.04132492014985095
Weiden i.d. OPf.,577.6636713735548,6.18,596,11,5.8,42055,0.011947337963784978
Amberg-Sulzbach,486.8355688027822,5.28,82,11,4.9,103568,0.029422468154399778
Cham,1715.2466367713,5.22,83,21,17.2,126359,0.03589712704234707
Neumarkt i.d. OPf.,3720.4819277108427,7.12,97,32,37.2,130385,0.03704086696963748
Neustadt a.d. Waldnaab,790.4316172646903,5.19,66,11,7.9,95078,0.02701055757747588
Regensburg,1733.0677290836643,7.36,136,22,17.3,189390,0.053803503435054974
Schwandorf,1760.2427921092567,5.81,98,21,17.6,144864,0.041154183017138204
Tirschenreuth,344.6226975638752,4.35,67,11,3.4,73314,0.020827657483698296
Bamberg,1480.082417582417,8.36,1342,22,14.8,73331,0.02083248698662029
Bayreuth,1711.6104868913858,7.82,1078,22,17.1,72148,0.020496410400931128
Coburg,1503.407155025554,6.75,854,21,15.0,41257,0.011720635414858563
Hof,1691.3580246913593,4.74,769,21,16.9,44660,0.012687388264478353
Bamberg,948.3146067415728,6.09,124,11,9.5,145570,0.04135474943260443
Bayreuth,1356.9620253164555,5.61,81,21,13.6,104306,0.029632125398895634
Coburg,1596.173212487413,5.76,146,21,16.0,86599,0.024601771973030918
Forchheim,1383.9285714285716,7.01,178,22,13.8,114834,0.03262300814964414
Hof,835.3808353808349,4.41,108,11,8.4,96429,0.027394361015570603
Kronach,1746.8354430379743,5.8,104,21,17.5,67916,0.019294148261762466
Kulmbach,1619.1500806885433,5.4,110,21,16.2,72468,0.020587318691227437
Lichtenfels,2376.681614349775,5.52,128,21,23.8,66655,0.018935912780313584
Wunsiedel i. Fichtelgebirge,927.9688513951976,4.21,120,11,9.3,73185,0.020791010079172598
Ansbach,1966.2671992898356,6.74,411,21,19.7,41159,0.011692794750955318
Erlangen,1100.4086398131942,9.51,1407,22,11.0,108336,0.03077700167981475
Fürth,1509.824198552223,8.35,1960,22,15.1,124171,0.03527554160744607
Nürnberg,1882.352941176471,8.84,2736,22,18.8,509975,0.14487798544955996
Schwabach,1018.141429100333,7.44,990,22,10.2,40428,0.011485126125309691
Ansbach,1809.5712861415766,5.92,91,21,18.1,181314,0.051509205458701926
Erlangen-Höchstadt,1915.7088122605362,7.78,237,22,19.2,134136,0.038106482584954506
Fürth,1521.7391304347818,7.42,371,22,15.2,114291,0.03246874814454759
Nürnberger Land,1499.595796281326,7.11,209,22,15.0,167643,0.047625432844199386
Neustadt a.d. Aisch-Bad Windsheim,1191.3000494315372,5.66,77,21,11.9,98751,0.028054014297033178
Roth,1521.1640211640208,6.53,139,21,15.2,125140,0.035550823273999575
Weißenburg-Gunzenhausen,2326.6806722689075,5.87,96,21,23.3,93342,0.026517380102618414
Aschaffenburg,1785.7142857142846,8.33,1104,22,17.9,68986,0.019598122857440742
Schweinfurt,1223.3801540552784,6.19,1455,21,12.2,51969,0.014763790432527442
Würzburg,2239.29388689114,9.36,1425,22,22.4,124873,0.035474971669283595
Aschaffenburg,1497.9591836734703,7.04,248,22,15.0,173695,0.04934473588442829
Bad Kissingen,1077.0059235325793,5.14,90,21,10.8,103106,0.029291219310284482
Rhön-Grabfeld,1564.98673740053,5.45,78,21,15.6,79723,0.02264838008528902
Haßberge,846.4267612772417,5.35,88,11,8.5,84581,0.024028481567349835
Kitzingen,2328.7671232876705,5.85,130,21,23.3,89306,0.02537079929125624
Miltenberg,2120.6318812829104,6.33,179,21,21.2,128446,0.036490019548123295
