id,name,rent_median,percent_change,value,2012,2013,2014,2015,2016
08111,Stuttgart,11.31,18.5,23,9.55,10.3375,10.5175,11.095,11.3125
08115,Böblingen,9.53,16.7,22,8.165,8.3975,8.7175,9.1375,9.5325
08116,Esslingen,9.18,14.2,22,8.0325,8.23,8.5975,8.9475,9.175
08117,Göppingen,7.57,18.3,22,6.3975,6.5575,6.8125,7.175,7.57
08118,Ludwigsburg,9.28,18.6,22,7.8225,8.1975,8.4725,8.9025,9.275
08119,Rems-Murr-Kreis,8.73,18.1,22,7.3925,7.54,7.87,8.23,8.73
08121,Heilbronn,8.79,26.0,32,6.975,7.3425,7.595,8.1675,8.7875
08125,Heilbronn,7.83,22.4,22,6.4025,6.66,6.945,7.265,7.835
08126,Hohenlohekreis,7.01,19.9,22,5.8475,5.94,6.265,6.5525,7.01
08127,Schwäbisch Hall,6.66,20.2,21,5.54,5.77,6.1225,6.4775,6.66
08128,Main-Tauber-Kreis,5.85,19.0,21,4.915,5.1725,5.28,5.5175,5.85
08135,Heidenheim,6.4,13.8,21,5.6275,5.9125,6.08,6.3025,6.4025
08136,Ostalbkreis,7.14,19.9,22,5.9575,6.345,6.46,6.825,7.1425
08211,Baden-Baden,8.55,14.0,22,7.5025,7.7425,8.0425,8.24,8.555
08212,Karlsruhe,9.27,10.6,22,8.3825,8.6925,8.7925,9.0625,9.27
08215,Karlsruhe,7.63,18.8,22,6.4225,6.625,6.9,7.1475,7.6325
08216,Rastatt,7.26,16.3,22,6.245,6.445,6.7125,6.8875,7.265
08221,Heidelberg,10.49,7.8,12,9.7375,10.115,10.09,10.4975,10.495
08222,Mannheim,8.57,15.0,22,7.45,7.7475,7.83,8.185,8.5675
08225,Neckar-Odenwald-Kreis,5.84,12.2,21,5.205,4.99,5.265,5.3925,5.8375
08226,Rhein-Neckar-Kreis,7.83,13.6,22,6.8875,6.97,7.16,7.4875,7.825
08231,Pforzheim,7.46,20.7,22,6.1825,6.4425,6.68,6.8925,7.4625
08235,Calw,6.55,12.2,21,5.8375,5.9775,6.095,6.4,6.5475
08236,Enzkreis,7.01,14.4,22,6.1275,6.3125,6.525,6.8075,7.01
08237,Freudenstadt,6.14,10.6,21,5.55,5.69,5.6875,5.8675,6.14
08311,Freiburg im Breisgau,11.03,7.6,13,10.2525,10.6175,10.6425,11.19,11.0275
08315,Breisgau-Hochschwarzwald,8.76,21.4,22,7.215,7.46,7.8925,8.275,8.76
08316,Emmendingen,8.36,23.9,22,6.75,6.905,7.3,7.675,8.3625
08317,Ortenaukreis,7.04,18.1,22,5.9625,6.13,6.44,6.675,7.0425
08325,Rottweil,6.21,11.4,21,5.5725,5.63,5.7725,5.98,6.21
08326,Schwarzwald-Baar-Kreis,6.68,16.6,21,5.73,5.8725,6.065,6.265,6.68
08327,Tuttlingen,6.74,19.3,21,5.6525,5.885,6.1475,6.59,6.7425
08335,Konstanz,9.86,26.7,32,7.785,8.405,8.475,9.175,9.86
08336,Lörrach,9.4,28.5,32,7.3175,7.84,8.285,8.865,9.4
08337,Waldshut,7.59,25.0,22,6.075,6.53,6.905,7.2825,7.5925
08415,Reutlingen,8.46,15.9,22,7.3025,7.4625,7.865,8.0175,8.465
08416,Tübingen,9.39,16.6,22,8.0525,8.12,8.5125,8.9675,9.39
08417,Zollernalbkreis,6.58,19.5,21,5.5075,5.6675,5.9425,6.1475,6.58
08421,Ulm,9.19,10.9,22,8.2875,8.56,8.845,9.09,9.19
08425,Alb-Donau-Kreis,7.36,17.3,22,6.2725,6.445,6.6175,6.95,7.36
08426,Biberach,7.22,22.1,22,5.915,6.355,6.61,7.125,7.22
08435,Bodenseekreis,9.33,17.4,22,7.945,8.16,8.595,9.0175,9.33
08436,Ravensburg,7.97,21.4,22,6.565,6.935,7.23,7.3625,7.97
08437,Sigmaringen,5.94,13.8,21,5.2175,5.365,5.4925,5.79,5.94
09161,Ingolstadt,11.08,26.2,33,8.7825,9.415,9.685,10.385,11.08
09162,München,15.51,21.3,23,12.79,13.665,14.1325,14.7425,15.5125
09163,Rosenheim,9.57,23.6,22,7.7425,7.925,8.4675,8.9975,9.5675
09171,Altötting,6.06,16.8,21,5.19,5.4675,5.7575,5.885,6.0625
09172,Berchtesgadener Land,7.97,13.8,22,7.0075,7.0775,7.2925,7.675,7.9725
09173,Bad Tölz-Wolfratshausen,9.81,15.2,22,8.5175,8.5825,9.1525,9.415,9.81
09174,Dachau,10.87,20.3,23,9.0375,9.245,9.665,10.305,10.8725
09175,Ebersberg,10.88,18.5,23,9.185,9.465,9.8475,10.24,10.885
09176,Eichstätt,9.27,44.4,32,6.42,7.325,7.59,7.845,9.27
09177,Erding,9.59,23.2,22,7.78,8.2225,8.65,9.095,9.585
09178,Freising,10.14,16.8,22,8.685,8.6525,9.215,9.685,10.145
09179,Fürstenfeldbruck,11.22,19.0,23,9.4325,9.785,10.2525,10.915,11.2225
09180,Garmisch-Partenkirchen,8.85,10.7,22,8.0,8.0975,8.3225,8.5675,8.8525
09181,Landsberg am Lech,8.74,18.8,22,7.355,7.38,7.795,8.0925,8.7375
09182,Miesbach,10.23,15.5,22,8.8575,8.8925,9.595,9.65,10.2325
09183,Mühldorf a. Inn,6.93,23.3,22,5.6225,5.75,6.1675,6.5,6.935
09184,München,12.8,16.9,23,10.9475,11.255,11.7025,12.14,12.8025
09185,Neuburg-Schrobenhausen,8.02,32.8,32,6.035,6.82,6.925,7.525,8.015
09186,Pfaffenhofen a.d. Ilm,8.39,24.5,22,6.745,7.145,7.5425,7.9975,8.395
09187,Rosenheim,8.61,16.8,22,7.37,7.4975,7.9025,8.1075,8.605
09188,Starnberg,11.95,16.2,23,10.2825,10.695,11.06,11.525,11.945
09189,Traunstein,7.54,17.0,22,6.445,6.605,6.9925,7.1275,7.5425
09190,Weilheim-Schongau,8.47,14.9,22,7.37,7.6275,7.8525,8.3325,8.47
09261,Landshut,9.03,24.0,22,7.2825,7.735,8.1175,8.625,9.0275
09262,Passau,8.07,17.8,22,6.8525,7.165,7.1075,7.755,8.0725
09263,Straubing,6.89,18.4,22,5.815,6.0575,6.245,6.71,6.8875
09271,Deggendorf,6.52,15.6,21,5.64,5.7875,6.03,6.2375,6.5175
09272,Freyung-Grafenau,4.61,6.4,11,4.3275,4.2,4.3825,4.485,4.605
09273,Kelheim,7.36,25.2,22,5.88,5.9925,6.3725,6.83,7.3625
09274,Landshut,7.13,27.9,32,5.5775,5.87,6.305,6.5475,7.1325
09275,Passau,5.89,16.3,21,5.07,5.215,5.305,5.5425,5.895
09276,Regen,4.83,11.9,21,4.31,4.35,4.4275,4.5775,4.825
09277,Rottal-Inn,5.83,23.1,21,4.74,5.175,5.2025,5.5775,5.835
09278,Straubing-Bogen,5.93,19.1,21,4.98,5.24,5.1475,5.435,5.93
09279,Dingolfing-Landau,6.48,31.5,31,4.9275,5.265,5.555,6.135,6.4775
09361,Amberg,6.26,13.3,21,5.5275,5.5975,5.825,5.9175,6.26
09362,Regensburg,9.9,14.5,22,8.645,9.0225,9.5875,9.9175,9.9
09363,Weiden i.d. OPf.,6.18,5.8,11,5.8425,6.075,5.7975,5.88,6.18
09371,Amberg-Sulzbach,5.28,4.9,11,5.0325,5.0775,5.0125,5.22,5.2775
09372,Cham,5.22,17.2,21,4.46,4.5675,4.8175,4.9225,5.225
09373,Neumarkt i.d. OPf.,7.12,37.2,32,5.1875,6.2025,6.4275,6.8775,7.1175
09374,Neustadt a.d. Waldnaab,5.19,7.9,11,4.8075,4.7575,4.81,4.9125,5.1875
09375,Regensburg,7.36,17.3,22,6.275,6.575,6.725,7.0,7.3625
09376,Schwandorf,5.81,17.6,21,4.9425,5.0675,5.375,5.485,5.8125
09377,Tirschenreuth,4.35,3.4,11,4.2075,4.1825,4.24,4.355,4.3525
09461,Bamberg,8.36,14.8,22,7.28,7.6325,7.625,7.965,8.3575
09462,Bayreuth,7.82,17.1,22,6.675,7.4775,7.62,7.6925,7.8175
09463,Coburg,6.75,15.0,21,5.87,6.3075,6.325,6.455,6.7525
09464,Hof,4.74,16.9,21,4.05,4.175,4.305,4.52,4.735
09471,Bamberg,6.09,9.5,11,5.5625,5.6575,5.73,5.8325,6.09
09472,Bayreuth,5.61,13.6,21,4.9375,4.8675,5.08,5.43,5.6075
09473,Coburg,5.76,16.0,21,4.965,5.175,5.2175,5.485,5.7575
09474,Forchheim,7.01,13.8,22,6.16,6.24,6.4425,6.64,7.0125
09475,Hof,4.41,8.4,11,4.07,4.1275,4.1775,4.245,4.41
09476,Kronach,5.8,17.5,21,4.9375,5.25,5.5075,5.64,5.8
09477,Kulmbach,5.4,16.2,21,4.6475,4.935,4.9825,5.165,5.4
09478,Lichtenfels,5.52,23.8,21,4.46,4.865,4.96,5.2675,5.52
09479,Wunsiedel i. Fichtelgebirge,4.21,9.3,11,3.8525,3.9275,4.055,4.11,4.21
09561,Ansbach,6.74,19.7,21,5.6325,5.9175,6.0375,6.49,6.74
09562,Erlangen,9.51,11.0,22,8.565,8.9675,9.175,9.365,9.5075
09563,Fürth,8.35,15.1,22,7.2525,7.795,7.845,8.15,8.3475
